Product Name,Subcategory
Strawberry Soda,Fizzy Drinks & Malt
Premium Lager Beer,Beer
Go Grape Go Soda,Fizzy Drinks & Malt
Chardonnay,Wines & Champagne 
Rock N Rolla Cola Soda,Fizzy Drinks & Malt
Green Punch Soda,Fizzy Drinks & Malt
Chubby pineapple sunshine Pina soda,Fizzy Drinks & Malt
Lager Beer,Beer
Tutti Fruity Fruit Punch Soda,Fizzy Drinks & Malt
Australian Chardonnay,Wines & Champagne 
Orange Tango Soda,Fizzy Drinks & Malt
Tutti Fruity Soda,Fizzy Drinks & Malt
Pinot Grigio,Wines & Champagne 
Bubble Gum Soda,Fizzy Drinks & Malt
Martian Magic Soda,Fizzy Drinks & Malt
Slimline Tonic Water,Fizzy Drinks & Malt
Blueberry Blast Soda 25% Less Sugar,Fizzy Drinks & Malt
0.0% Alcohol Free Draught Stout,Beer
Bluberry Blast Soda,Fizzy Drinks & Malt
Caffein Free Blueberry Blast Soda,Fizzy Drinks & Malt
